generation,s-type,s-value, isActive
14,4,0.000000,1
14,5,0.010081,1
14,6,0.000000,1
14,7,0.000000,1
15,1,0.044976,1
15,2,0.233988,0
15,3,0.006832,1
15,4,0.000000,1
15,5,0.010081,1
15,6,0.000000,1
15,7,0.000000,1
15,1,0.044976,1
15,2,0.233988,0
15,3,0.006832,1
15,4,0.000000,1
15,5,0.010081,1
15,6,0.000000,1
15,7,0.000000,1
15,1,0.044976,1
15,2,0.233988,0
15,3,0.006832,1
15,4,0.000000,1
15,5,0.010081,1
15,6,0.000000,1
15,7,0.000000,1
15,1,0.044976,1
15,2,0.233988,0
15,3,0.006832,1
15,4,0.000000,1
15,5,0.010081,1
15,6,0.000000,1
15,7,0.000000,1
16,1,0.044976,1
16,2,0.233988,0
16,3,0.006832,1
16,4,0.000000,1
16,5,0.010081,1
16,6,0.000000,1
16,7,0.000000,1
16,1,0.044976,1
16,2,0.233988,0
16,3,0.006832,1
16,4,0.000000,1
16,5,0.010081,1
16,6,0.000000,1
16,7,0.000000,1
16,1,0.044976,1
16,2,0.233988,0
16,3,0.006832,1
16,4,0.000000,1
16,5,0.010081,1
16,6,0.000000,1
16,7,0.000000,1
16,1,0.044976,1
16,2,0.233988,0
16,3,0.006832,1
16,4,0.000000,1
16,5,0.010081,1
16,6,0.000000,1
16,7,0.000000,1
17,1,0.044976,1
17,2,0.233988,0
17,3,0.006832,1
17,4,0.000000,1
17,5,0.010081,1
17,6,0.000000,1
17,7,0.000000,1
17,1,0.044976,1
17,2,0.233988,0
17,3,0.006832,1
17,4,0.000000,1
17,5,0.010081,1
17,6,0.000000,1
17,7,0.000000,1
17,1,0.044976,1
17,2,0.233988,0
17,3,0.006832,1
17,4,0.000000,1
17,5,0.010081,1
17,6,0.000000,1
17,7,0.000000,1
17,1,0.044976,1
17,2,0.233988,0
17,3,0.006832,1
17,4,0.000000,1
17,5,0.010081,1
17,6,0.000000,1
17,7,0.000000,1
18,1,0.044976,1
18,2,0.233988,0
18,3,0.006832,1
18,4,0.000000,1
18,5,0.010081,1
18,6,0.000000,1
18,7,0.000000,1
18,1,0.044976,1
18,2,0.233988,0
18,3,0.006832,1
18,4,0.000000,1
18,5,0.010081,1
18,6,0.000000,1
18,7,0.000000,1
18,1,0.044976,1
18,2,0.233988,0
18,3,0.006832,1
18,4,0.000000,1
18,5,0.010081,1
18,6,0.000000,1
18,7,0.000000,1
18,1,0.044976,1
18,2,0.233988,0
18,3,0.006832,1
18,4,0.000000,1
18,5,0.010081,1
18,6,0.000000,1
18,7,0.000000,1
19,1,0.044976,1
19,2,0.233988,0
19,3,0.006832,1
19,4,0.000000,1
19,5,0.072910,1
19,6,0.000000,1
19,7,0.000000,1
19,1,0.044976,1
19,2,0.233988,0
19,3,0.006832,1
19,4,0.000000,1
19,5,0.072910,1
19,6,0.000000,1
19,7,0.000000,1
19,1,0.044976,1
19,2,0.233988,0
19,3,0.006832,1
19,4,0.000000,1
19,5,0.072910,1
19,6,0.000000,1
19,7,0.000000,1
19,1,0.044976,1
19,2,0.233988,0
19,3,0.006832,1
19,4,0.000000,1
19,5,0.072910,1
19,6,0.000000,1
19,7,0.000000,1
20,1,0.044976,1
20,2,0.233988,0
20,3,0.006832,1
20,4,0.000000,1
20,5,0.072910,1
20,6,0.000000,1
20,7,0.000000,1
20,1,0.044976,1
20,2,0.233988,0
20,3,0.006832,1
20,4,0.000000,1
20,5,0.072910,1
20,6,0.000000,1
20,7,0.000000,1
20,1,0.044976,1
20,2,0.233988,0
20,3,0.006832,1
20,4,0.000000,1
20,5,0.072910,1
20,6,0.000000,1
20,7,0.000000,1
20,1,0.044976,1
20,2,0.233988,0
20,3,0.006832,1
20,4,0.000000,1
20,5,0.072910,1
20,6,0.000000,1
20,7,0.000000,1
21,1,0.044976,1
21,2,0.233988,0
21,3,0.006832,1
21,4,0.000000,1
21,5,0.072910,1
21,6,0.000000,1
21,7,0.000000,1
21,1,0.044976,1
21,2,0.233988,0
21,3,0.006832,1
21,4,0.000000,1
21,5,0.072910,1
21,6,0.000000,1
21,7,0.000000,1
21,1,0.044976,1
21,2,0.233988,0
21,3,0.006832,1
21,4,0.000000,1
21,5,0.072910,1
21,6,0.000000,1
21,7,0.000000,1
21,1,0.044976,1
21,2,0.233988,0
21,3,0.006832,1
21,4,0.000000,1
21,5,0.072910,1
21,6,0.000000,1
21,7,0.000000,1
22,1,0.044976,1
22,2,0.233988,0
22,3,0.006832,1
22,4,0.000000,1
22,5,0.072910,1
22,6,0.000000,1
22,7,0.000000,1
22,1,0.044976,1
22,2,0.233988,0
22,3,0.006832,1
22,4,0.000000,1
22,5,0.072910,1
22,6,0.000000,1
22,7,0.000000,1
22,1,0.044976,1
22,2,0.233988,0
22,3,0.006832,1
22,4,0.000000,1
22,5,0.072910,1
22,6,0.000000,1
22,7,0.000000,1
22,1,0.044976,1
22,2,0.233988,0
22,3,0.006832,1
22,4,0.000000,1
22,5,0.072910,1
22,6,0.000000,1
22,7,0.000000,1
23,1,0.044976,1
23,2,0.233988,0
23,3,0.057390,1
23,4,0.000000,1
23,5,0.072910,1
23,6,0.000000,1
23,7,0.000000,1
23,1,0.044976,1
23,2,0.233988,0
23,3,0.057390,1
23,4,0.000000,1
23,5,0.072910,1
23,6,0.000000,1
23,7,0.000000,1
23,1,0.044976,1
23,2,0.233988,0
23,3,0.057390,1
23,4,0.000000,1
23,5,0.072910,1
23,6,0.000000,1
23,7,0.000000,1
23,1,0.044976,1
23,2,0.233988,0
23,3,0.057390,1
23,4,0.000000,1
23,5,0.072910,1
23,6,0.000000,1
23,7,0.000000,1
24,1,0.044976,1
24,2,0.233988,0
24,3,0.057390,1
24,4,0.000000,1
24,5,0.072910,1
24,6,0.000000,1
24,7,0.000000,1
24,1,0.044976,1
24,2,0.233988,0
24,3,0.057390,1
